00000000) perceptual - 227.09537; gen_gan - 3.85486; feature_matching - 12.96188; equivariance_value - 1.14218; equivariance_jacobian - 0.77758; disc_gan - 7.50982
00000032) perceptual - 137.02177; gen_gan - 0.27126; feature_matching - 6.11964; equivariance_value - 0.99473; equivariance_jacobian - 0.92878; disc_gan - 0.48964
00000033) perceptual - 142.85980; gen_gan - 0.27583; feature_matching - 6.63224; equivariance_value - 0.94180; equivariance_jacobian - 0.95269; disc_gan - 0.50111
00000034) perceptual - 139.75246; gen_gan - 0.29028; feature_matching - 6.34857; equivariance_value - 0.89594; equivariance_jacobian - 0.88418; disc_gan - 0.52735
00000035) perceptual - 138.79865; gen_gan - 0.28320; feature_matching - 6.33855; equivariance_value - 1.02379; equivariance_jacobian - 1.07250; disc_gan - 0.51979
00000036) perceptual - 143.76993; gen_gan - 0.27354; feature_matching - 6.72194; equivariance_value - 1.05757; equivariance_jacobian - 1.10851; disc_gan - 0.49036
00000037) perceptual - 141.56062; gen_gan - 0.27085; feature_matching - 6.65370; equivariance_value - 1.04439; equivariance_jacobian - 1.02622; disc_gan - 0.49036
00000038) perceptual - 144.53546; gen_gan - 0.27465; feature_matching - 6.79344; equivariance_value - 1.12464; equivariance_jacobian - 1.13215; disc_gan - 0.49229
00000039) perceptual - 143.08926; gen_gan - 0.27575; feature_matching - 6.75350; equivariance_value - 1.13532; equivariance_jacobian - 1.10667; disc_gan - 0.48955
00000040) perceptual - 144.75049; gen_gan - 0.27366; feature_matching - 6.83812; equivariance_value - 1.15311; equivariance_jacobian - 1.00414; disc_gan - 0.48935
00000041) perceptual - 138.90857; gen_gan - 0.27484; feature_matching - 6.54456; equivariance_value - 1.12130; equivariance_jacobian - 0.92207; disc_gan - 0.48641
00000042) perceptual - 134.62094; gen_gan - 0.27413; feature_matching - 6.23533; equivariance_value - 1.04115; equivariance_jacobian - 0.98377; disc_gan - 0.49147
00000043) perceptual - 135.96121; gen_gan - 0.29252; feature_matching - 6.32426; equivariance_value - 1.04799; equivariance_jacobian - 0.95571; disc_gan - 0.51662
00000044) perceptual - 133.13252; gen_gan - 0.31565; feature_matching - 6.16092; equivariance_value - 1.03023; equivariance_jacobian - 1.10970; disc_gan - 0.57156
00000045) perceptual - 136.14909; gen_gan - 0.27303; feature_matching - 6.27013; equivariance_value - 1.05896; equivariance_jacobian - 1.06310; disc_gan - 0.48897
00000046) perceptual - 136.81529; gen_gan - 0.27169; feature_matching - 6.29847; equivariance_value - 0.96286; equivariance_jacobian - 1.04937; disc_gan - 0.48340
00000047) perceptual - 137.59772; gen_gan - 0.27598; feature_matching - 6.35938; equivariance_value - 1.01276; equivariance_jacobian - 1.00201; disc_gan - 0.48059
00000048) perceptual - 142.27303; gen_gan - 0.27779; feature_matching - 6.81800; equivariance_value - 1.00048; equivariance_jacobian - 0.95230; disc_gan - 0.47954
00000049) perceptual - 132.10580; gen_gan - 0.27528; feature_matching - 6.04476; equivariance_value - 0.97663; equivariance_jacobian - 0.96464; disc_gan - 0.47852
00000050) perceptual - 136.74821; gen_gan - 0.27491; feature_matching - 6.48992; equivariance_value - 1.01007; equivariance_jacobian - 2.12647; disc_gan - 0.48250
00000051) perceptual - 134.40741; gen_gan - 0.31953; feature_matching - 6.22666; equivariance_value - 0.99028; equivariance_jacobian - 0.92973; disc_gan - 0.56713
00000052) perceptual - 136.14272; gen_gan - 0.28223; feature_matching - 6.44733; equivariance_value - 1.06589; equivariance_jacobian - 1.05421; disc_gan - 0.49166
00000053) perceptual - 133.52055; gen_gan - 0.27429; feature_matching - 6.13036; equivariance_value - 0.96547; equivariance_jacobian - 0.94744; disc_gan - 0.48087
00000054) perceptual - 134.84474; gen_gan - 0.28075; feature_matching - 6.31050; equivariance_value - 1.02891; equivariance_jacobian - 0.95403; disc_gan - 0.48481
00000055) perceptual - 134.26987; gen_gan - 0.28084; feature_matching - 6.52163; equivariance_value - 0.93466; equivariance_jacobian - 0.94006; disc_gan - 0.47621
00000056) perceptual - 133.03049; gen_gan - 0.28253; feature_matching - 6.23384; equivariance_value - 0.98813; equivariance_jacobian - 0.88864; disc_gan - 0.47146
00000057) perceptual - 137.37068; gen_gan - 0.28046; feature_matching - 6.50519; equivariance_value - 0.98790; equivariance_jacobian - 0.91893; disc_gan - 0.48913
00000058) perceptual - 131.42313; gen_gan - 0.28429; feature_matching - 6.18576; equivariance_value - 1.01197; equivariance_jacobian - 0.91662; disc_gan - 0.47694
00000059) perceptual - 137.21852; gen_gan - 0.28108; feature_matching - 6.48298; equivariance_value - 1.02356; equivariance_jacobian - 1.00827; disc_gan - 0.46860
00000060) perceptual - 131.10857; gen_gan - 0.27896; feature_matching - 6.25143; equivariance_value - 0.89779; equivariance_jacobian - 0.89346; disc_gan - 0.47208
00000061) perceptual - 128.84457; gen_gan - 0.28314; feature_matching - 6.15426; equivariance_value - 0.90893; equivariance_jacobian - 0.90666; disc_gan - 0.46665
00000062) perceptual - 129.13068; gen_gan - 0.27766; feature_matching - 6.05022; equivariance_value - 0.82964; equivariance_jacobian - 0.89433; disc_gan - 0.46966
00000063) perceptual - 124.58691; gen_gan - 0.27947; feature_matching - 5.99369; equivariance_value - 0.89897; equivariance_jacobian - 1.42570; disc_gan - 0.46691
00000064) perceptual - 127.44550; gen_gan - 0.28231; feature_matching - 6.06836; equivariance_value - 0.92802; equivariance_jacobian - 0.93532; disc_gan - 0.46741
00000065) perceptual - 124.52870; gen_gan - 0.28169; feature_matching - 5.89327; equivariance_value - 0.96393; equivariance_jacobian - 0.89126; disc_gan - 0.46637
00000066) perceptual - 130.39404; gen_gan - 0.27988; feature_matching - 6.23314; equivariance_value - 0.92222; equivariance_jacobian - 0.90750; disc_gan - 0.46796
00000067) perceptual - 122.97248; gen_gan - 0.27964; feature_matching - 5.80337; equivariance_value - 0.86138; equivariance_jacobian - 0.84832; disc_gan - 0.46820
00000068) perceptual - 125.82196; gen_gan - 0.28058; feature_matching - 5.99877; equivariance_value - 0.97081; equivariance_jacobian - 0.92846; disc_gan - 0.46787
00000069) perceptual - 123.97161; gen_gan - 0.27733; feature_matching - 5.85406; equivariance_value - 0.95040; equivariance_jacobian - 0.89600; disc_gan - 0.46756
00000070) perceptual - 127.13366; gen_gan - 0.28114; feature_matching - 6.23915; equivariance_value - 0.97217; equivariance_jacobian - 0.92151; disc_gan - 0.46581
00000071) perceptual - 123.03984; gen_gan - 0.28131; feature_matching - 5.87351; equivariance_value - 0.90054; equivariance_jacobian - 0.96814; disc_gan - 0.46607
00000072) perceptual - 126.73000; gen_gan - 0.28078; feature_matching - 6.11712; equivariance_value - 0.95775; equivariance_jacobian - 0.88380; disc_gan - 0.46675
00000073) perceptual - 120.48409; gen_gan - 0.27975; feature_matching - 5.65871; equivariance_value - 0.94670; equivariance_jacobian - 0.91679; disc_gan - 0.46514
00000074) perceptual - 122.48295; gen_gan - 0.28055; feature_matching - 5.78516; equivariance_value - 0.95119; equivariance_jacobian - 0.87999; disc_gan - 0.46582
00000075) perceptual - 122.13544; gen_gan - 0.28124; feature_matching - 5.83715; equivariance_value - 0.96868; equivariance_jacobian - 0.88301; disc_gan - 0.46551
00000076) perceptual - 124.83174; gen_gan - 0.28110; feature_matching - 5.91714; equivariance_value - 0.97334; equivariance_jacobian - 0.86398; disc_gan - 0.46727
00000077) perceptual - 122.17093; gen_gan - 0.27869; feature_matching - 5.81791; equivariance_value - 0.93643; equivariance_jacobian - 0.84318; disc_gan - 0.46799
00000078) perceptual - 123.20428; gen_gan - 0.28117; feature_matching - 5.92479; equivariance_value - 0.99326; equivariance_jacobian - 0.89760; disc_gan - 0.46549
00000079) perceptual - 122.17236; gen_gan - 0.28076; feature_matching - 5.79022; equivariance_value - 0.92700; equivariance_jacobian - 0.86357; disc_gan - 0.46522
00000080) perceptual - 125.17518; gen_gan - 0.28201; feature_matching - 6.11215; equivariance_value - 1.00379; equivariance_jacobian - 0.91025; disc_gan - 0.46693
00000081) perceptual - 121.24341; gen_gan - 0.28340; feature_matching - 5.79456; equivariance_value - 0.92908; equivariance_jacobian - 0.84121; disc_gan - 0.46583
00000082) perceptual - 122.18047; gen_gan - 0.27990; feature_matching - 5.90237; equivariance_value - 0.92912; equivariance_jacobian - 0.88730; disc_gan - 0.46603
00000083) perceptual - 124.33560; gen_gan - 0.27932; feature_matching - 5.88415; equivariance_value - 0.91497; equivariance_jacobian - 0.85975; disc_gan - 0.46488
00000084) perceptual - 122.73973; gen_gan - 0.28442; feature_matching - 6.00629; equivariance_value - 0.94286; equivariance_jacobian - 0.85657; disc_gan - 0.46375
00000085) perceptual - 122.15107; gen_gan - 0.28442; feature_matching - 5.80468; equivariance_value - 0.97717; equivariance_jacobian - 0.95400; disc_gan - 0.46165
00000086) perceptual - 123.53087; gen_gan - 0.28197; feature_matching - 5.88393; equivariance_value - 0.93524; equivariance_jacobian - 0.88500; disc_gan - 0.46425
00000087) perceptual - 121.02841; gen_gan - 0.28293; feature_matching - 5.88583; equivariance_value - 0.97994; equivariance_jacobian - 0.88727; disc_gan - 0.46391
00000088) perceptual - 123.33255; gen_gan - 0.28247; feature_matching - 6.00511; equivariance_value - 0.92997; equivariance_jacobian - 0.95498; disc_gan - 0.46556
00000089) perceptual - 124.77557; gen_gan - 0.28243; feature_matching - 5.95709; equivariance_value - 0.90172; equivariance_jacobian - 0.90709; disc_gan - 0.46379
00000090) perceptual - 124.93906; gen_gan - 0.28093; feature_matching - 6.09500; equivariance_value - 0.83084; equivariance_jacobian - 0.88637; disc_gan - 0.46179
00000091) perceptual - 121.33663; gen_gan - 0.28126; feature_matching - 5.82455; equivariance_value - 0.84793; equivariance_jacobian - 0.87234; disc_gan - 0.46172
00000092) perceptual - 123.06334; gen_gan - 0.28293; feature_matching - 5.93185; equivariance_value - 0.97471; equivariance_jacobian - 0.96548; disc_gan - 0.46126
00000093) perceptual - 126.17066; gen_gan - 0.28412; feature_matching - 6.15377; equivariance_value - 0.93813; equivariance_jacobian - 0.85374; disc_gan - 0.46370
00000094) perceptual - 121.72598; gen_gan - 0.28139; feature_matching - 5.85117; equivariance_value - 0.94987; equivariance_jacobian - 0.92309; disc_gan - 0.46467
00000095) perceptual - 121.54501; gen_gan - 0.28387; feature_matching - 5.80558; equivariance_value - 0.95945; equivariance_jacobian - 0.87636; disc_gan - 0.46068
00000096) perceptual - 121.43826; gen_gan - 0.28482; feature_matching - 5.81372; equivariance_value - 0.96157; equivariance_jacobian - 0.89336; disc_gan - 0.46048
00000097) perceptual - 119.78661; gen_gan - 0.28202; feature_matching - 5.63629; equivariance_value - 0.94228; equivariance_jacobian - 0.90833; disc_gan - 0.46437
00000098) perceptual - 124.25694; gen_gan - 0.28377; feature_matching - 5.98951; equivariance_value - 0.94145; equivariance_jacobian - 0.92700; disc_gan - 0.46386
00000099) perceptual - 119.21567; gen_gan - 0.28225; feature_matching - 5.59344; equivariance_value - 0.93968; equivariance_jacobian - 0.83222; disc_gan - 0.46050
00000100) perceptual - 122.17131; gen_gan - 0.28289; feature_matching - 5.81607; equivariance_value - 0.85209; equivariance_jacobian - 0.79125; disc_gan - 0.46410
00000101) perceptual - 124.14865; gen_gan - 0.28160; feature_matching - 5.99649; equivariance_value - 0.89444; equivariance_jacobian - 0.84036; disc_gan - 0.46334
00000102) perceptual - 120.55028; gen_gan - 0.28516; feature_matching - 5.69570; equivariance_value - 0.86508; equivariance_jacobian - 0.85781; disc_gan - 0.46103
00000103) perceptual - 118.96091; gen_gan - 0.28163; feature_matching - 5.70174; equivariance_value - 0.92671; equivariance_jacobian - 0.86707; disc_gan - 0.46475
00000104) perceptual - 120.69343; gen_gan - 0.28267; feature_matching - 5.66987; equivariance_value - 0.95415; equivariance_jacobian - 0.95143; disc_gan - 0.46309
00000105) perceptual - 117.50273; gen_gan - 0.28358; feature_matching - 5.65953; equivariance_value - 0.95961; equivariance_jacobian - 0.84760; disc_gan - 0.46305
00000106) perceptual - 125.59447; gen_gan - 0.28226; feature_matching - 6.19553; equivariance_value - 0.94368; equivariance_jacobian - 0.85877; disc_gan - 0.46329
00000107) perceptual - 123.81437; gen_gan - 0.28209; feature_matching - 5.93841; equivariance_value - 0.84962; equivariance_jacobian - 1.24561; disc_gan - 0.46330
00000108) perceptual - 121.59666; gen_gan - 0.28009; feature_matching - 5.84149; equivariance_value - 0.96355; equivariance_jacobian - 0.93438; disc_gan - 0.46448
00000109) perceptual - 122.29038; gen_gan - 0.28485; feature_matching - 5.85841; equivariance_value - 0.88064; equivariance_jacobian - 0.82577; disc_gan - 0.46214
00000110) perceptual - 121.15398; gen_gan - 0.28209; feature_matching - 5.84540; equivariance_value - 0.90471; equivariance_jacobian - 1.64647; disc_gan - 0.46251
00000111) perceptual - 124.43277; gen_gan - 0.28402; feature_matching - 6.03105; equivariance_value - 0.99552; equivariance_jacobian - 1.00565; disc_gan - 0.46161
00000112) perceptual - 119.48682; gen_gan - 0.28559; feature_matching - 5.61369; equivariance_value - 0.94125; equivariance_jacobian - 0.97631; disc_gan - 0.46030
00000113) perceptual - 124.15322; gen_gan - 0.28284; feature_matching - 5.93701; equivariance_value - 0.97583; equivariance_jacobian - 0.88578; disc_gan - 0.46343
00000114) perceptual - 121.80837; gen_gan - 0.28328; feature_matching - 5.87900; equivariance_value - 0.85756; equivariance_jacobian - 0.84111; disc_gan - 0.46235
00000115) perceptual - 121.19116; gen_gan - 0.28328; feature_matching - 5.73111; equivariance_value - 0.97270; equivariance_jacobian - 0.92724; disc_gan - 0.46378
00000116) perceptual - 119.69086; gen_gan - 0.28099; feature_matching - 5.58984; equivariance_value - 0.95708; equivariance_jacobian - 0.91294; disc_gan - 0.46427
00000117) perceptual - 122.65312; gen_gan - 0.27900; feature_matching - 5.83363; equivariance_value - 1.01875; equivariance_jacobian - 0.96981; disc_gan - 0.46482
00000118) perceptual - 121.06594; gen_gan - 0.28058; feature_matching - 5.82893; equivariance_value - 0.94280; equivariance_jacobian - 0.86748; disc_gan - 0.46345
00000119) perceptual - 119.99642; gen_gan - 0.28303; feature_matching - 5.81445; equivariance_value - 0.97137; equivariance_jacobian - 0.88605; disc_gan - 0.46315
00000120) perceptual - 121.70390; gen_gan - 0.28294; feature_matching - 5.86748; equivariance_value - 1.00626; equivariance_jacobian - 0.91298; disc_gan - 0.46434
00000121) perceptual - 118.63312; gen_gan - 0.28055; feature_matching - 5.54188; equivariance_value - 0.96319; equivariance_jacobian - 0.87851; disc_gan - 0.46347
00000122) perceptual - 119.65818; gen_gan - 0.28210; feature_matching - 5.70526; equivariance_value - 0.93921; equivariance_jacobian - 0.84091; disc_gan - 0.46474
00000123) perceptual - 117.74681; gen_gan - 0.28726; feature_matching - 5.55781; equivariance_value - 0.88851; equivariance_jacobian - 0.87900; disc_gan - 0.45982
00000124) perceptual - 119.37137; gen_gan - 0.28196; feature_matching - 5.50761; equivariance_value - 0.94586; equivariance_jacobian - 0.94790; disc_gan - 0.46448
00000125) perceptual - 121.25958; gen_gan - 0.28172; feature_matching - 5.88790; equivariance_value - 0.89657; equivariance_jacobian - 0.84011; disc_gan - 0.46388
00000126) perceptual - 122.59277; gen_gan - 0.27966; feature_matching - 5.83634; equivariance_value - 0.94510; equivariance_jacobian - 0.82366; disc_gan - 0.46522
00000127) perceptual - 119.65786; gen_gan - 0.28086; feature_matching - 5.74840; equivariance_value - 0.86020; equivariance_jacobian - 0.82101; disc_gan - 0.46356
00000128) perceptual - 118.63171; gen_gan - 0.28175; feature_matching - 5.64729; equivariance_value - 0.92152; equivariance_jacobian - 0.89889; disc_gan - 0.46279
00000129) perceptual - 119.01003; gen_gan - 0.28254; feature_matching - 5.67035; equivariance_value - 0.89417; equivariance_jacobian - 0.88700; disc_gan - 0.46367
00000130) perceptual - 119.48008; gen_gan - 0.28353; feature_matching - 5.69699; equivariance_value - 0.90839; equivariance_jacobian - 0.86503; disc_gan - 0.46415
00000131) perceptual - 117.91846; gen_gan - 0.28158; feature_matching - 5.39519; equivariance_value - 0.89976; equivariance_jacobian - 0.89345; disc_gan - 0.46284
00000132) perceptual - 117.25462; gen_gan - 0.28323; feature_matching - 5.58609; equivariance_value - 0.91684; equivariance_jacobian - 0.83991; disc_gan - 0.46264
00000133) perceptual - 118.50108; gen_gan - 0.28099; feature_matching - 5.65047; equivariance_value - 0.92823; equivariance_jacobian - 0.90315; disc_gan - 0.46345
00000134) perceptual - 124.35953; gen_gan - 0.28339; feature_matching - 5.98607; equivariance_value - 0.97133; equivariance_jacobian - 0.90115; disc_gan - 0.46338
00000135) perceptual - 119.02161; gen_gan - 0.28627; feature_matching - 5.65475; equivariance_value - 0.91431; equivariance_jacobian - 0.88793; disc_gan - 0.46128
00000136) perceptual - 122.93292; gen_gan - 0.28068; feature_matching - 5.86002; equivariance_value - 0.91425; equivariance_jacobian - 0.84693; disc_gan - 0.46504
00000137) perceptual - 124.05904; gen_gan - 0.28716; feature_matching - 5.96440; equivariance_value - 0.93360; equivariance_jacobian - 0.90602; disc_gan - 0.46121
00000138) perceptual - 122.04160; gen_gan - 0.28246; feature_matching - 5.88035; equivariance_value - 0.97801; equivariance_jacobian - 0.91420; disc_gan - 0.46294
00000139) perceptual - 122.83199; gen_gan - 0.28712; feature_matching - 5.90962; equivariance_value - 0.90532; equivariance_jacobian - 0.85676; disc_gan - 0.46034
00000140) perceptual - 119.78916; gen_gan - 0.28305; feature_matching - 5.78769; equivariance_value - 0.96951; equivariance_jacobian - 0.87620; disc_gan - 0.46353
00000141) perceptual - 122.40727; gen_gan - 0.28265; feature_matching - 5.73483; equivariance_value - 0.88950; equivariance_jacobian - 0.85129; disc_gan - 0.46287
00000142) perceptual - 117.91673; gen_gan - 0.28303; feature_matching - 5.52111; equivariance_value - 0.90631; equivariance_jacobian - 0.86284; disc_gan - 0.46219
00000143) perceptual - 122.74726; gen_gan - 0.28255; feature_matching - 5.91905; equivariance_value - 0.98976; equivariance_jacobian - 0.92400; disc_gan - 0.46480
00000144) perceptual - 120.37137; gen_gan - 0.28291; feature_matching - 5.65622; equivariance_value - 0.88049; equivariance_jacobian - 0.88420; disc_gan - 0.46369
00000145) perceptual - 117.62024; gen_gan - 0.28077; feature_matching - 5.52812; equivariance_value - 0.94226; equivariance_jacobian - 0.85742; disc_gan - 0.46438
00000146) perceptual - 118.47356; gen_gan - 0.27899; feature_matching - 5.58792; equivariance_value - 0.87816; equivariance_jacobian - 0.82910; disc_gan - 0.46580
00000147) perceptual - 120.69469; gen_gan - 0.28197; feature_matching - 5.89281; equivariance_value - 0.90974; equivariance_jacobian - 0.91351; disc_gan - 0.46344
00000148) perceptual - 125.12967; gen_gan - 0.28195; feature_matching - 6.10581; equivariance_value - 0.89795; equivariance_jacobian - 0.84367; disc_gan - 0.46308
00000149) perceptual - 123.77497; gen_gan - 0.28399; feature_matching - 6.01612; equivariance_value - 0.92358; equivariance_jacobian - 0.96939; disc_gan - 0.46392
00000150) perceptual - 120.53530; gen_gan - 0.28577; feature_matching - 5.72731; equivariance_value - 0.90933; equivariance_jacobian - 0.84379; disc_gan - 0.45963
00000151) perceptual - 118.27725; gen_gan - 0.28382; feature_matching - 5.63163; equivariance_value - 0.93049; equivariance_jacobian - 0.91977; disc_gan - 0.46396
00000152) perceptual - 120.44815; gen_gan - 0.28395; feature_matching - 5.81611; equivariance_value - 0.95044; equivariance_jacobian - 0.88348; disc_gan - 0.46147
00000153) perceptual - 121.10414; gen_gan - 0.28616; feature_matching - 5.73216; equivariance_value - 0.93471; equivariance_jacobian - 1.06982; disc_gan - 0.46188
00000154) perceptual - 122.35320; gen_gan - 0.28297; feature_matching - 5.91481; equivariance_value - 0.93981; equivariance_jacobian - 0.84504; disc_gan - 0.46086
00000155) perceptual - 121.33855; gen_gan - 0.28297; feature_matching - 5.78864; equivariance_value - 0.83274; equivariance_jacobian - 0.85307; disc_gan - 0.46339
00000156) perceptual - 120.08981; gen_gan - 0.28297; feature_matching - 5.63690; equivariance_value - 0.94185; equivariance_jacobian - 0.91250; disc_gan - 0.46385
00000157) perceptual - 119.32227; gen_gan - 0.28276; feature_matching - 5.64789; equivariance_value - 0.96036; equivariance_jacobian - 0.94372; disc_gan - 0.46330
00000158) perceptual - 122.72610; gen_gan - 0.28135; feature_matching - 5.78109; equivariance_value - 0.99501; equivariance_jacobian - 0.95692; disc_gan - 0.46255
00000159) perceptual - 119.17609; gen_gan - 0.28368; feature_matching - 5.66476; equivariance_value - 1.01192; equivariance_jacobian - 0.91045; disc_gan - 0.46201
00000160) perceptual - 121.53061; gen_gan - 0.28482; feature_matching - 5.77468; equivariance_value - 0.96774; equivariance_jacobian - 0.86986; disc_gan - 0.46051
00000161) perceptual - 120.70988; gen_gan - 0.28226; feature_matching - 5.80420; equivariance_value - 1.03527; equivariance_jacobian - 0.90388; disc_gan - 0.46189
00000162) perceptual - 125.10805; gen_gan - 0.28596; feature_matching - 6.00070; equivariance_value - 1.10638; equivariance_jacobian - 0.98437; disc_gan - 0.46109
00000163) perceptual - 124.21045; gen_gan - 0.28677; feature_matching - 5.91987; equivariance_value - 0.97015; equivariance_jacobian - 0.93164; disc_gan - 0.46214
00000164) perceptual - 121.01286; gen_gan - 0.27925; feature_matching - 5.88862; equivariance_value - 1.00037; equivariance_jacobian - 0.86627; disc_gan - 0.46559
00000165) perceptual - 121.16867; gen_gan - 0.28627; feature_matching - 5.85783; equivariance_value - 0.89447; equivariance_jacobian - 0.81507; disc_gan - 0.46051
00000166) perceptual - 118.50184; gen_gan - 0.28211; feature_matching - 5.63724; equivariance_value - 0.87342; equivariance_jacobian - 0.87158; disc_gan - 0.46466
00000167) perceptual - 113.72601; gen_gan - 0.28375; feature_matching - 5.36957; equivariance_value - 0.90497; equivariance_jacobian - 0.81367; disc_gan - 0.46285
00000168) perceptual - 117.38382; gen_gan - 0.28134; feature_matching - 5.60197; equivariance_value - 0.92688; equivariance_jacobian - 0.91182; disc_gan - 0.46189
00000169) perceptual - 118.67028; gen_gan - 0.28249; feature_matching - 5.75133; equivariance_value - 0.90633; equivariance_jacobian - 0.86326; disc_gan - 0.46261
00000170) perceptual - 121.10416; gen_gan - 0.28421; feature_matching - 5.84881; equivariance_value - 0.92173; equivariance_jacobian - 0.86634; disc_gan - 0.46211
00000171) perceptual - 118.97150; gen_gan - 0.28320; feature_matching - 5.70406; equivariance_value - 0.93599; equivariance_jacobian - 0.85244; disc_gan - 0.46235
00000172) perceptual - 119.85747; gen_gan - 0.28540; feature_matching - 5.72639; equivariance_value - 0.92300; equivariance_jacobian - 0.85964; disc_gan - 0.46356
00000173) perceptual - 123.76779; gen_gan - 0.28271; feature_matching - 6.08236; equivariance_value - 0.90996; equivariance_jacobian - 0.87031; disc_gan - 0.46229
