00000099) perceptual - 188.28348; gen_gan - 0.94030; feature_matching - 5.67578; equivariance_value - 0.97120; equivariance_jacobian - 0.95237; disc_gan - 1.15505
00000161) perceptual - 133.13322; gen_gan - 0.67662; feature_matching - 3.36564; equivariance_value - 0.63034; equivariance_jacobian - 0.73678; disc_gan - 0.72377
00000162) perceptual - 132.07755; gen_gan - 0.67564; feature_matching - 3.39210; equivariance_value - 0.45526; equivariance_jacobian - 0.71379; disc_gan - 0.72210
00000163) perceptual - 128.40231; gen_gan - 0.67221; feature_matching - 3.61393; equivariance_value - 0.53365; equivariance_jacobian - 0.77786; disc_gan - 0.72965
00000164) perceptual - 134.99272; gen_gan - 0.67063; feature_matching - 3.54329; equivariance_value - 0.60417; equivariance_jacobian - 0.78171; disc_gan - 0.72292
00000165) perceptual - 130.28159; gen_gan - 0.66722; feature_matching - 3.35285; equivariance_value - 0.46054; equivariance_jacobian - 0.70837; disc_gan - 0.71790
00000166) perceptual - 132.70436; gen_gan - 0.66791; feature_matching - 3.33563; equivariance_value - 0.60419; equivariance_jacobian - 0.82889; disc_gan - 0.71674
00000167) perceptual - 129.63081; gen_gan - 0.66657; feature_matching - 3.29052; equivariance_value - 0.56675; equivariance_jacobian - 0.73394; disc_gan - 0.71728
00000168) perceptual - 124.46212; gen_gan - 0.66870; feature_matching - 3.52380; equivariance_value - 0.59020; equivariance_jacobian - 0.83729; disc_gan - 0.72439
00000169) perceptual - 126.08462; gen_gan - 0.66671; feature_matching - 3.31975; equivariance_value - 0.56335; equivariance_jacobian - 0.82076; disc_gan - 0.71923
00000170) perceptual - 128.35260; gen_gan - 0.66128; feature_matching - 3.31104; equivariance_value - 0.62117; equivariance_jacobian - 0.80970; disc_gan - 0.70842
00000171) perceptual - 129.61261; gen_gan - 0.65944; feature_matching - 3.33167; equivariance_value - 0.48866; equivariance_jacobian - 0.71059; disc_gan - 0.70813
00000172) perceptual - 121.27126; gen_gan - 0.65281; feature_matching - 3.31787; equivariance_value - 0.57103; equivariance_jacobian - 0.82206; disc_gan - 0.70327
00000173) perceptual - 122.07407; gen_gan - 0.65927; feature_matching - 3.41286; equivariance_value - 0.51127; equivariance_jacobian - 0.75548; disc_gan - 0.71375
00000174) perceptual - 126.70684; gen_gan - 0.65538; feature_matching - 3.33509; equivariance_value - 0.47459; equivariance_jacobian - 0.74399; disc_gan - 0.70943
00000175) perceptual - 120.33899; gen_gan - 0.65060; feature_matching - 3.40867; equivariance_value - 0.63958; equivariance_jacobian - 0.82523; disc_gan - 0.70698
00000176) perceptual - 127.38945; gen_gan - 0.65233; feature_matching - 3.36675; equivariance_value - 0.49043; equivariance_jacobian - 0.71877; disc_gan - 0.70654
00000177) perceptual - 128.16965; gen_gan - 0.64933; feature_matching - 3.45601; equivariance_value - 0.55248; equivariance_jacobian - 0.77878; disc_gan - 0.70469
00000178) perceptual - 126.94099; gen_gan - 0.64620; feature_matching - 3.29171; equivariance_value - 0.54799; equivariance_jacobian - 0.72840; disc_gan - 0.69744
00000179) perceptual - 121.93633; gen_gan - 0.64967; feature_matching - 3.43763; equivariance_value - 0.55042; equivariance_jacobian - 0.74745; disc_gan - 0.70958
00000180) perceptual - 123.83256; gen_gan - 0.64585; feature_matching - 3.29389; equivariance_value - 0.47924; equivariance_jacobian - 0.78943; disc_gan - 0.70372
00000181) perceptual - 119.99033; gen_gan - 0.64247; feature_matching - 3.36480; equivariance_value - 0.57530; equivariance_jacobian - 0.72954; disc_gan - 0.69489
00000182) perceptual - 129.37480; gen_gan - 0.64493; feature_matching - 3.24182; equivariance_value - 0.51483; equivariance_jacobian - 0.70881; disc_gan - 0.69690
00000183) perceptual - 123.77483; gen_gan - 0.64098; feature_matching - 3.27646; equivariance_value - 0.45087; equivariance_jacobian - 0.71960; disc_gan - 0.70041
00000184) perceptual - 124.75044; gen_gan - 0.63788; feature_matching - 3.30959; equivariance_value - 0.47869; equivariance_jacobian - 0.70621; disc_gan - 0.69464
00000185) perceptual - 124.24619; gen_gan - 0.63336; feature_matching - 3.06425; equivariance_value - 0.51310; equivariance_jacobian - 0.71299; disc_gan - 0.68284
00000186) perceptual - 126.67435; gen_gan - 0.63650; feature_matching - 3.22050; equivariance_value - 0.69235; equivariance_jacobian - 0.96418; disc_gan - 0.68757
00000187) perceptual - 128.10112; gen_gan - 0.63984; feature_matching - 3.38161; equivariance_value - 0.47593; equivariance_jacobian - 0.72317; disc_gan - 0.70041
00000188) perceptual - 133.51854; gen_gan - 0.63790; feature_matching - 3.43243; equivariance_value - 0.70207; equivariance_jacobian - 0.85592; disc_gan - 0.69550
00000189) perceptual - 124.63485; gen_gan - 0.62778; feature_matching - 3.13887; equivariance_value - 0.57432; equivariance_jacobian - 0.85857; disc_gan - 0.68131
00000190) perceptual - 135.19211; gen_gan - 0.63786; feature_matching - 3.32000; equivariance_value - 0.52661; equivariance_jacobian - 0.81359; disc_gan - 0.68535
00000191) perceptual - 134.93341; gen_gan - 0.63598; feature_matching - 3.25889; equivariance_value - 0.46351; equivariance_jacobian - 0.72688; disc_gan - 0.67964
00000192) perceptual - 127.24267; gen_gan - 0.62871; feature_matching - 3.17728; equivariance_value - 0.70084; equivariance_jacobian - 1.00399; disc_gan - 0.68197
00000193) perceptual - 117.44305; gen_gan - 0.62979; feature_matching - 3.27908; equivariance_value - 0.62259; equivariance_jacobian - 0.75611; disc_gan - 0.69128
00000194) perceptual - 122.96986; gen_gan - 0.61999; feature_matching - 3.26798; equivariance_value - 0.53429; equivariance_jacobian - 0.78462; disc_gan - 0.68178
00000195) perceptual - 119.59491; gen_gan - 0.62211; feature_matching - 3.21388; equivariance_value - 0.47787; equivariance_jacobian - 0.72097; disc_gan - 0.68038
00000196) perceptual - 120.21728; gen_gan - 0.61800; feature_matching - 3.08438; equivariance_value - 0.53717; equivariance_jacobian - 0.73512; disc_gan - 0.67748
00000197) perceptual - 121.16637; gen_gan - 0.62262; feature_matching - 3.22784; equivariance_value - 0.51263; equivariance_jacobian - 0.72663; disc_gan - 0.68193
00000198) perceptual - 117.84714; gen_gan - 0.61380; feature_matching - 3.14349; equivariance_value - 0.50473; equivariance_jacobian - 0.73303; disc_gan - 0.66992
00000199) perceptual - 119.87131; gen_gan - 0.61509; feature_matching - 3.18265; equivariance_value - 0.46611; equivariance_jacobian - 0.77904; disc_gan - 0.67496
00000200) perceptual - 114.79013; gen_gan - 0.61036; feature_matching - 3.16418; equivariance_value - 0.55284; equivariance_jacobian - 0.77271; disc_gan - 0.67832
00000201) perceptual - 131.90346; gen_gan - 0.62174; feature_matching - 3.25618; equivariance_value - 0.57341; equivariance_jacobian - 0.88137; disc_gan - 0.66956
00000202) perceptual - 120.55453; gen_gan - 0.60924; feature_matching - 3.17992; equivariance_value - 0.41962; equivariance_jacobian - 0.73910; disc_gan - 0.67290
00000203) perceptual - 119.87170; gen_gan - 0.60622; feature_matching - 3.38157; equivariance_value - 0.48213; equivariance_jacobian - 0.63055; disc_gan - 0.67341
00000204) perceptual - 128.58015; gen_gan - 0.61245; feature_matching - 3.34635; equivariance_value - 0.54261; equivariance_jacobian - 0.79709; disc_gan - 0.67321
00000205) perceptual - 127.90518; gen_gan - 0.61341; feature_matching - 3.18675; equivariance_value - 0.47724; equivariance_jacobian - 0.79932; disc_gan - 0.67196
00000206) perceptual - 127.65606; gen_gan - 0.61387; feature_matching - 3.27445; equivariance_value - 0.61734; equivariance_jacobian - 0.77120; disc_gan - 0.67152
00000207) perceptual - 118.29326; gen_gan - 0.60780; feature_matching - 3.16530; equivariance_value - 0.64359; equivariance_jacobian - 0.80835; disc_gan - 0.66689
00000208) perceptual - 124.95594; gen_gan - 0.61083; feature_matching - 3.31111; equivariance_value - 0.61022; equivariance_jacobian - 0.85266; disc_gan - 0.67591
00000209) perceptual - 126.07150; gen_gan - 0.60636; feature_matching - 3.15226; equivariance_value - 0.46170; equivariance_jacobian - 0.71080; disc_gan - 0.66746
00000210) perceptual - 114.25519; gen_gan - 0.59628; feature_matching - 3.40838; equivariance_value - 0.53746; equivariance_jacobian - 0.75896; disc_gan - 0.66955
00000211) perceptual - 117.79115; gen_gan - 0.59917; feature_matching - 3.17806; equivariance_value - 0.50187; equivariance_jacobian - 0.75078; disc_gan - 0.66816
00000212) perceptual - 112.10210; gen_gan - 0.59557; feature_matching - 3.21032; equivariance_value - 0.54089; equivariance_jacobian - 0.81501; disc_gan - 0.66195
00000213) perceptual - 120.60310; gen_gan - 0.60055; feature_matching - 3.15072; equivariance_value - 0.55275; equivariance_jacobian - 0.82316; disc_gan - 0.66234
00000214) perceptual - 117.34245; gen_gan - 0.59239; feature_matching - 2.96084; equivariance_value - 0.63864; equivariance_jacobian - 0.89797; disc_gan - 0.65298
00000215) perceptual - 119.79214; gen_gan - 0.59207; feature_matching - 3.17198; equivariance_value - 0.59187; equivariance_jacobian - 0.95701; disc_gan - 0.65179
00000216) perceptual - 116.90140; gen_gan - 0.59198; feature_matching - 3.01588; equivariance_value - 0.50718; equivariance_jacobian - 0.78965; disc_gan - 0.65683
00000217) perceptual - 114.56203; gen_gan - 0.59159; feature_matching - 3.06780; equivariance_value - 0.53149; equivariance_jacobian - 0.78840; disc_gan - 0.66081
00000218) perceptual - 118.47041; gen_gan - 0.59459; feature_matching - 3.23540; equivariance_value - 0.55842; equivariance_jacobian - 0.75227; disc_gan - 0.66178
00000219) perceptual - 119.38062; gen_gan - 0.59427; feature_matching - 3.08400; equivariance_value - 0.57951; equivariance_jacobian - 0.85768; disc_gan - 0.65855
00000220) perceptual - 114.44194; gen_gan - 0.58340; feature_matching - 3.19204; equivariance_value - 0.51404; equivariance_jacobian - 0.75608; disc_gan - 0.65105
00000221) perceptual - 118.37967; gen_gan - 0.58629; feature_matching - 3.05909; equivariance_value - 0.46858; equivariance_jacobian - 0.70838; disc_gan - 0.65211
00000222) perceptual - 132.08813; gen_gan - 0.59605; feature_matching - 3.16885; equivariance_value - 0.65938; equivariance_jacobian - 0.90972; disc_gan - 0.64802
00000223) perceptual - 112.20121; gen_gan - 0.57784; feature_matching - 3.02077; equivariance_value - 0.54643; equivariance_jacobian - 0.81810; disc_gan - 0.64860
00000224) perceptual - 121.10720; gen_gan - 0.58268; feature_matching - 3.15857; equivariance_value - 0.51200; equivariance_jacobian - 0.73865; disc_gan - 0.65332
00000225) perceptual - 115.78927; gen_gan - 0.57734; feature_matching - 2.96439; equivariance_value - 0.63280; equivariance_jacobian - 0.78646; disc_gan - 0.63828
00000226) perceptual - 114.35759; gen_gan - 0.58024; feature_matching - 3.14119; equivariance_value - 0.47550; equivariance_jacobian - 0.73903; disc_gan - 0.65026
00000227) perceptual - 119.36892; gen_gan - 0.58102; feature_matching - 3.10490; equivariance_value - 0.57701; equivariance_jacobian - 0.87609; disc_gan - 0.65120
00000228) perceptual - 120.40866; gen_gan - 0.58099; feature_matching - 3.10320; equivariance_value - 0.53321; equivariance_jacobian - 0.70677; disc_gan - 0.65060
00000229) perceptual - 110.78313; gen_gan - 0.57075; feature_matching - 3.04100; equivariance_value - 0.57377; equivariance_jacobian - 0.84883; disc_gan - 0.64419
00000230) perceptual - 115.26866; gen_gan - 0.57314; feature_matching - 2.99183; equivariance_value - 0.46475; equivariance_jacobian - 0.70932; disc_gan - 0.63809
00000231) perceptual - 115.01577; gen_gan - 0.57660; feature_matching - 3.27435; equivariance_value - 0.63173; equivariance_jacobian - 0.75802; disc_gan - 0.65262
00000232) perceptual - 119.58408; gen_gan - 0.56485; feature_matching - 2.93198; equivariance_value - 0.55243; equivariance_jacobian - 0.84507; disc_gan - 0.63141
00000233) perceptual - 117.45029; gen_gan - 0.57255; feature_matching - 3.04229; equivariance_value - 0.47948; equivariance_jacobian - 0.63762; disc_gan - 0.64345
00000234) perceptual - 122.29527; gen_gan - 0.57381; feature_matching - 3.09697; equivariance_value - 0.53578; equivariance_jacobian - 0.85778; disc_gan - 0.64101
00000235) perceptual - 114.37101; gen_gan - 0.56559; feature_matching - 2.98258; equivariance_value - 0.51512; equivariance_jacobian - 0.79015; disc_gan - 0.63298
00000236) perceptual - 117.99850; gen_gan - 0.56331; feature_matching - 2.95703; equivariance_value - 0.54876; equivariance_jacobian - 0.81884; disc_gan - 0.62423
00000237) perceptual - 111.69971; gen_gan - 0.56676; feature_matching - 3.00797; equivariance_value - 0.51985; equivariance_jacobian - 0.78505; disc_gan - 0.63985
00000238) perceptual - 111.91694; gen_gan - 0.56053; feature_matching - 2.99984; equivariance_value - 0.64290; equivariance_jacobian - 0.98034; disc_gan - 0.63684
00000239) perceptual - 121.07357; gen_gan - 0.56258; feature_matching - 2.96908; equivariance_value - 0.52130; equivariance_jacobian - 0.74883; disc_gan - 0.63046
00000240) perceptual - 118.84369; gen_gan - 0.56572; feature_matching - 2.90124; equivariance_value - 0.56938; equivariance_jacobian - 0.81859; disc_gan - 0.63115
00000241) perceptual - 106.74828; gen_gan - 0.55803; feature_matching - 3.07781; equivariance_value - 0.50220; equivariance_jacobian - 0.72350; disc_gan - 0.63045
00000242) perceptual - 116.05072; gen_gan - 0.55491; feature_matching - 3.15388; equivariance_value - 0.51421; equivariance_jacobian - 0.76757; disc_gan - 0.61840
00000243) perceptual - 119.86651; gen_gan - 0.56444; feature_matching - 3.13835; equivariance_value - 0.55081; equivariance_jacobian - 0.73060; disc_gan - 0.64103
00000244) perceptual - 115.80341; gen_gan - 0.55968; feature_matching - 3.02654; equivariance_value - 0.45094; equivariance_jacobian - 0.70489; disc_gan - 0.63012
00000245) perceptual - 112.58755; gen_gan - 0.55498; feature_matching - 2.90637; equivariance_value - 0.53239; equivariance_jacobian - 0.74310; disc_gan - 0.63097
00000246) perceptual - 113.35680; gen_gan - 0.54733; feature_matching - 2.93938; equivariance_value - 0.44167; equivariance_jacobian - 0.68366; disc_gan - 0.62407
00000247) perceptual - 111.86908; gen_gan - 0.55378; feature_matching - 3.03853; equivariance_value - 0.54633; equivariance_jacobian - 0.77762; disc_gan - 0.63051
00000248) perceptual - 113.16883; gen_gan - 0.55361; feature_matching - 2.86531; equivariance_value - 0.56959; equivariance_jacobian - 0.80527; disc_gan - 0.62547
00000249) perceptual - 116.08395; gen_gan - 0.55467; feature_matching - 2.97359; equivariance_value - 0.59399; equivariance_jacobian - 0.83779; disc_gan - 0.63190
00000250) perceptual - 114.71779; gen_gan - 0.55380; feature_matching - 2.93048; equivariance_value - 0.39388; equivariance_jacobian - 0.61350; disc_gan - 0.62528
00000251) perceptual - 111.48917; gen_gan - 0.54150; feature_matching - 3.13144; equivariance_value - 0.47107; equivariance_jacobian - 0.72319; disc_gan - 0.61837
00000252) perceptual - 111.74551; gen_gan - 0.55006; feature_matching - 2.98633; equivariance_value - 0.55912; equivariance_jacobian - 0.84460; disc_gan - 0.63308
00000253) perceptual - 121.12038; gen_gan - 0.54461; feature_matching - 2.84432; equivariance_value - 0.44522; equivariance_jacobian - 0.67634; disc_gan - 0.61185
00000254) perceptual - 112.77186; gen_gan - 0.54002; feature_matching - 2.93469; equivariance_value - 0.47065; equivariance_jacobian - 0.65909; disc_gan - 0.61246
00000255) perceptual - 112.94054; gen_gan - 0.54122; feature_matching - 2.88239; equivariance_value - 0.47156; equivariance_jacobian - 0.72759; disc_gan - 0.61622
00000256) perceptual - 120.76643; gen_gan - 0.54494; feature_matching - 2.96663; equivariance_value - 0.44446; equivariance_jacobian - 0.75785; disc_gan - 0.62442
00000257) perceptual - 117.16087; gen_gan - 0.54730; feature_matching - 3.03574; equivariance_value - 0.70155; equivariance_jacobian - 0.92185; disc_gan - 0.62887
00000258) perceptual - 113.28262; gen_gan - 0.54198; feature_matching - 2.90218; equivariance_value - 0.56475; equivariance_jacobian - 0.89335; disc_gan - 0.61784
00000259) perceptual - 112.86794; gen_gan - 0.53926; feature_matching - 2.83595; equivariance_value - 0.48504; equivariance_jacobian - 0.73851; disc_gan - 0.62066
00000260) perceptual - 112.60994; gen_gan - 0.53857; feature_matching - 2.77070; equivariance_value - 0.42122; equivariance_jacobian - 0.72665; disc_gan - 0.61732
00000261) perceptual - 108.44669; gen_gan - 0.54024; feature_matching - 2.85247; equivariance_value - 0.59136; equivariance_jacobian - 0.76314; disc_gan - 0.61958
00000262) perceptual - 113.52014; gen_gan - 0.53440; feature_matching - 2.84667; equivariance_value - 0.46144; equivariance_jacobian - 0.71011; disc_gan - 0.61129
00000263) perceptual - 117.29105; gen_gan - 0.53666; feature_matching - 2.86826; equivariance_value - 0.56701; equivariance_jacobian - 0.85659; disc_gan - 0.61043
00000264) perceptual - 125.48457; gen_gan - 0.54630; feature_matching - 2.88362; equivariance_value - 0.48181; equivariance_jacobian - 0.76708; disc_gan - 0.61429
00000265) perceptual - 112.45705; gen_gan - 0.53697; feature_matching - 3.06700; equivariance_value - 0.52743; equivariance_jacobian - 0.83437; disc_gan - 0.62514
00000266) perceptual - 113.65103; gen_gan - 0.53985; feature_matching - 3.09189; equivariance_value - 0.47868; equivariance_jacobian - 0.76636; disc_gan - 0.62285
00000267) perceptual - 119.04528; gen_gan - 0.54636; feature_matching - 3.04507; equivariance_value - 0.48651; equivariance_jacobian - 0.72780; disc_gan - 0.62619
00000268) perceptual - 110.29380; gen_gan - 0.52721; feature_matching - 2.85879; equivariance_value - 0.46367; equivariance_jacobian - 0.67761; disc_gan - 0.60484
00000269) perceptual - 109.36923; gen_gan - 0.52987; feature_matching - 2.88991; equivariance_value - 0.52737; equivariance_jacobian - 0.72434; disc_gan - 0.61335
00000270) perceptual - 114.22598; gen_gan - 0.53575; feature_matching - 3.04634; equivariance_value - 0.54182; equivariance_jacobian - 0.77386; disc_gan - 0.62253
00000271) perceptual - 119.76907; gen_gan - 0.53097; feature_matching - 3.01025; equivariance_value - 0.58335; equivariance_jacobian - 0.76060; disc_gan - 0.60956
00000272) perceptual - 116.45802; gen_gan - 0.53092; feature_matching - 3.03413; equivariance_value - 0.47735; equivariance_jacobian - 0.78970; disc_gan - 0.61925
